bookCandidateKey,authorCandidateKey,sourceWpPostId,confidence,reason
book:el valle de cristal,author:556,556,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:la salvaje,author:559,559,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:cruce de pasos,author:563,563,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:comer bien en casa,author:565,565,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:cuando su mirada pasaba por halley,author:568,568,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:la trenza dorada y otros relatos para tiempos nuevos,author:575,575,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:requiem por un escritor desconocido,author:589,589,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:de kolpino a krasny bor,author:592,592,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:dile a mama que nos conocimos en el cafe tres cantones,author:596,596,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:campos de dispersion ascetica,author:598,598,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:teoria metaforica del bestiaro romanico proposito revolucionario la educacion sexual,author:601,601,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:la vida de adonis,author:606,606,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el azul del mar en los mapas,author:609,609,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:cruce de pasos,author:619,619,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el poder de la educacion nos hace infinitos,author:623,623,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:julio robles garcia compositor,author:628,628,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:banquero de carlos v a emilio botin,author:633,633,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:la canteria en moralzarzal,author:637,637,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el delgado hilo de la vida,author:640,640,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el joven fenix el resurgir de los dioses egipcios,author:657,657,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:tiendas y abastos en moralzarzal,author:663,663,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:yoga volumen 1 2 3 4 5 evolucion integral y evolucion universal,author:683,683,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:nagasaki,author:690,690,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:un ameno curso introductorio a la ecologia humana,author:702,702,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:la ganaderia en moralzarzal,author:710,710,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:espejos de la realidad,author:717,717,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:la pulsera de la princesa yoruba,author:724,724,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:los pensamientos olvidados,author:733,733,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:la vida sin ti,author:747,747,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:relatos de agua dulce,author:751,751,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:john main apatheia nirvana,author:756,756,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:un siglo de ferrocarril en ecija memorias del marchenilla,author:762,762,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:going my way en 40 poemas,author:765,765,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:ilogica proposicional aforemas y poerismos,author:772,772,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:thailandia el viaje que cambio el rumbo de mi vida como inverti los obstaculos y mis limitaciones en valores gracias a mi experiencia de vida y al coaching,author:778,778,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:luna negra,author:793,793,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:la lista de tareas de mi profe jose,author:797,797,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:biodiversidad sostenibilidad supervivencia e inmortalidad,author:802,802,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:quieres o debes ser feliz darse cuenta de aquello que nos impide ser felices es el primer paso para ser mas feliz,author:807,807,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el camino del angel la realidad de un sueno,author:813,813,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:sus ojos hablaron,author:819,819,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:diario de un comunero,author:835,835,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:amar a fondo perdido y la decision,author:868,868,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:que cosas,author:879,879,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:no te vi venir pues jamas te hubiese dejado entrar,author:882,882,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:estampas de un pueblo andaluz 1960 1974,author:885,885,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:los dictadores y las mujeres adolf hitler,author:894,894,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:poesia y whisky,author:904,904,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:alma en llamas,author:909,909,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:tratado de la ausencia y otros relatos,author:915,915,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el rol principal de una pelicula llamada vida,author:921,921,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:la flor malva,author:926,926,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:leeme si te atreves,author:932,932,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:de los rollos del mar muerto a los de rodrigo de lares una narracion audaz para un lector mas inteligente que lerdo belmonte ano 2017 al 2022 libro 1,author:938,938,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:humor y prosa de un ajedrecista,author:942,942,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:los acorralados,author:946,946,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:diferencias de genero en la expresion conductual de la violencia,author:954,954,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:encuentros campezanos,author:957,957,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:al otro lado del rio,author:963,963,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el maestro de salamanca consideracion del derecho internacional humanitario,author:969,969,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:santa cruz de posguerra conversaciones en blanco y negro,author:978,978,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:detras de la corteza,author:990,990,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
